Dataset,Weight File,Patch Size,Overlap,Accuracy,F1 Score - Macro,F1 Score - Weighted
Validation,224_aug2_time2024-12-01_best_5e_acc97.pth,256,0.0,0.48368438492473376,0.3584627703201626,0.4470668598040122
Test,224_aug2_time2024-12-01_best_5e_acc97.pth,256,0.0,0.43125732739766437,0.35622626698904936,0.39611847048668813
Validation,223_aug2_time2024-11-30_best_2e_acc97.pth,256,0.0,0.5013394478039864,0.35097122340971776,0.4873798822482993
Test,223_aug2_time2024-11-30_best_2e_acc97.pth,256,0.0,0.44868000348409015,0.34637735757072774,0.44319393019043196
Validation,221_aug2_time2024-11-29_best_2e_acc96.pth,256,0.0,0.46976051982651407,0.3439102226268303,0.4740781186489236
Test,221_aug2_time2024-11-29_best_2e_acc96.pth,256,0.0,0.44490591684977215,0.3514229402310768,0.4342821038418773
Validation,222_aug2_time2024-11-29_best_2e_acc97.pth,256,0.0,0.49168560647556925,0.3614532492150779,0.4603330193937775
Test,222_aug2_time2024-11-29_best_2e_acc97.pth,256,0.0,0.4518868923187256,0.3711674943790431,0.42311610918210296
Validation,225_aug2_time2024-12-02_best_5e_acc96.pth,256,0.0,0.4673744348379282,0.3412038986832613,0.46713647842592865
Test,225_aug2_time2024-12-02_best_5e_acc96.pth,256,0.0,0.41959651311238605,0.32810629068123925,0.4062098705752023
Validation,03_base_time2024-12-02_best_5e_acc96.pth,256,0.0,0.38849803728935045,0.2926297576829276,0.3878497384869614
Test,03_base_time2024-12-02_best_5e_acc96.pth,256,0.0,0.38913215531243217,0.3051884803507879,0.36994513489340736
Validation,01_base_time2024-12-01_best_5e_acc96.pth,256,0.0,0.3460057087433644,0.22359219802123897,0.31029889135004063
Test,01_base_time2024-12-01_best_5e_acc96.pth,256,0.0,0.3660885757870144,0.28248314680877024,0.3483426347255007
Validation,04_base_time2024-12-03_best_5e_acc96.pth,256,0.0,0.36175316215580344,0.29031790553491893,0.35222209289348083
Test,04_base_time2024-12-03_best_5e_acc96.pth,256,0.0,0.41068874465094674,0.315279314878884,0.38440087656175365
Validation,02_base_time2024-12-02_best_5e_acc96.pth,256,0.0,0.3778850359794421,0.26495743411320766,0.3465302238086757
