Dataset,Weight File,Patch Size,Overlap,Accuracy,F1 Score - Macro,F1 Score - Weighted
Validation,201_aug0_time2024-12-03_best_5e_acc97.pth,256,0.0,0.46539196601280797,0.3444569303529663,0.43844437892166005
Test,201_aug0_time2024-12-03_best_5e_acc97.pth,256,0.0,0.4413900375366211,0.37311387559289366,0.42245382354495115
Validation,204_aug0_time2024-12-04_best_2e_acc97.pth,256,0.0,0.44631594470423513,0.3322396841560989,0.4367646243709155
Test,204_aug0_time2024-12-04_best_2e_acc97.pth,256,0.0,0.4448593987358941,0.3763741399379035,0.41394998655680276
Validation,203_aug0_time2024-12-04_best_5e_acc97.pth,256,0.0,0.4747627209394406,0.3446516820922172,0.45984243153655124
Test,203_aug0_time2024-12-04_best_5e_acc97.pth,256,0.0,0.45829688178168404,0.3568383956687539,0.43543527776564517
Validation,202_aug0_time2024-12-04_best_5e_acc97.pth,256,0.0,0.46387867234710956,0.3442277385231443,0.42393411200006553
Test,202_aug0_time2024-12-04_best_5e_acc97.pth,256,0.0,0.41718347867329914,0.3474050971457435,0.3752305779177949
Validation,205_aug0_time2024-12-06_best_5e_acc97.pth,256,0.0,0.4779375842493823,0.35461517934074815,0.45897747312282644
Test,205_aug0_time2024-12-06_best_5e_acc97.pth,256,0.0,0.4212166468302409,0.3386760935920954,0.3949423949789611
