,American Mountain-Ash,Background,Spruce,Blueberry,Bog Labrador Tea,Boulders,Canada Yew,Dead Trees,Fern,Fir,Fire Cherry,Jack Pine,Leatherleaf,Moss,Mountain Maple,Paper Birch,Red Maple,Red Raspberry,Sedges,Serviceberries,Sheep Laurel,Trembling Aspen,Viburnum,Willowherbs,Wood,Yellow Birch
American Mountain-Ash,755168,92363,15,0,0,366,0,0,0,2316,53868,0,0,274,20421,11578,371,43959,366,0,0,1,0,0,217,0
Background,59487,6451395,71644,33253,0,30828,0,0,39617,47886,363245,0,0,132706,108693,39008,110064,322136,53514,196651,40326,170171,0,15620,133972,346
Spruce,0,135681,844472,13016,0,0,0,0,188,234,0,0,0,10692,0,0,0,715,0,10479,0,0,0,0,1520,0
Blueberry,0,877331,21011,1085629,0,0,0,0,1949,0,37721,0,0,283364,0,0,0,79,0,0,27283,0,0,0,10272,0
Bog Labrador Tea,1306,607029,20498,1207,0,0,0,0,0,0,0,0,0,9088,0,0,0,13617,0,0,0,0,0,2118,78,0
Boulders,0,19950,396,0,0,46832,0,0,0,0,0,0,0,1944,0,0,0,0,0,0,0,0,0,0,33440,0
Canada Yew,56253,515836,44580,0,0,0,0,0,0,71776,0,0,0,0,0,49092,0,0,0,0,0,0,0,0,10228,0
Dead Trees,122,128853,5794,0,0,0,0,0,0,214,0,0,0,0,8488,0,0,0,0,0,0,0,0,0,0,0
Fern,5225,191829,591,0,0,0,0,0,309600,4335,4069,0,0,15402,0,0,0,7494,0,1544,5301,4514,0,0,1868,0
Fir,33159,223474,112213,0,0,0,0,0,0,945128,30478,0,0,0,15254,11922,0,7740,0,4814,2854,29025,0,0,191,0
Fire Cherry,0,501893,5841,0,0,0,0,0,12130,5219,2534566,0,0,0,9772,71766,6862,18071,0,145817,115610,650323,0,0,293,0
Jack Pine,0,64050,8500,16737,0,0,0,0,0,6158,0,0,0,127460,0,0,0,0,0,0,0,0,0,0,1271,0
Leatherleaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moss,3273,21434,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0
Mountain Maple,16014,134449,3593,0,0,0,0,0,0,1132,17179,0,0,0,1734152,40003,96309,50478,0,4318,0,7363,0,0,0,0
Paper Birch,29407,50086,824,0,0,0,0,0,0,0,30789,0,0,0,12273,864449,0,2624,0,34071,0,367,0,0,0,0
Red Maple,0,22246,0,0,0,0,0,0,0,0,13693,0,0,0,505,0,1153465,8754,0,0,0,6425,0,0,0,0
Red Raspberry,45321,1184848,0,0,0,24259,0,0,2785,631,160568,0,0,1653,1279,76073,0,2704892,1461,0,681,21243,0,8534,32942,6206
Sedges,0,763493,0,90,0,4491,0,0,1029,0,8463,0,0,4915,0,1506,0,73766,382669,0,0,0,0,44248,4323,4444
Serviceberries,54127,218463,0,0,0,1840,0,0,0,0,0,0,0,0,0,118901,0,38698,0,0,0,8877,0,6365,499,0
Sheep Laurel,0,262948,0,0,0,0,0,0,2846,0,60,0,0,2993,0,0,0,0,0,0,247314,0,0,178,0,0
Trembling Aspen,0,122415,7284,0,0,0,0,0,1572,0,44851,0,0,856,7545,2460,17931,4778,0,613669,1072,2076437,0,100,1727,0
Viburnum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willowherbs,30059,392296,0,79616,0,11443,0,0,59097,0,156738,0,0,0,0,2615,250,64201,152,1312,44534,36736,0,304235,225,0
Wood,2491,449596,7271,1409,0,51347,0,0,337,853,6166,0,0,6926,7806,34676,0,15199,0,277,3713,0,0,0,483142,0
Yellow Birch,19662,70976,0,0,0,0,0,0,0,0,0,0,0,0,22835,239758,3337,4090,0,610610,0,0,0,0,0,46315
