,American Mountain-Ash,Background,Spruce,Blueberry,Bog Labrador Tea,Boulders,Canada Yew,Dead Trees,Fern,Fir,Fire Cherry,Jack Pine,Leatherleaf,Moss,Mountain Maple,Paper Birch,Red Maple,Red Raspberry,Sedges,Serviceberries,Sheep Laurel,Trembling Aspen,Viburnum,Willowherbs,Wood,Yellow Birch
American Mountain-Ash,560107,18633,93,4294,0,475,12617,2,194719,2431,62611,0,0,24581,34945,7247,38,40391,2362,0,0,126,23,12723,190,2675
Background,66160,2622059,113921,64248,76871,223816,206229,26013,398663,315166,353792,8434,3938,394711,200244,161825,118656,1069811,258119,24635,137645,520614,485669,329553,185214,54556
Spruce,0,13835,471884,11204,0,0,2480,446,1062,50018,0,0,0,431443,0,0,0,8518,0,0,0,25378,0,0,729,0
Blueberry,0,268598,76559,307948,172722,183,0,0,45526,0,25,277,126129,1140244,0,0,0,30130,3086,0,128019,0,1567,20987,22639,0
Bog Labrador Tea,5713,552,30965,8797,52088,772,0,0,7801,0,0,0,0,67,0,0,0,77703,0,0,0,0,0,470483,0,0
Boulders,0,5255,9132,0,0,78431,0,0,0,7079,0,0,0,0,0,0,0,2438,227,0,0,0,0,0,0,0
Canada Yew,33834,33906,0,0,0,0,557715,0,2492,67689,0,0,0,0,0,52129,0,0,0,0,0,0,0,0,0,0
Dead Trees,4740,60143,0,0,0,0,0,0,0,44141,0,0,0,0,32095,654,0,0,0,0,0,0,0,0,1698,0
Fern,0,51884,2502,0,917,209,25,0,437704,7829,954,0,0,24346,0,0,0,33,821,0,0,11560,8808,956,3224,0
Fir,38715,32433,160,0,0,0,19840,0,4471,1191378,11081,0,0,0,28557,8646,0,668,0,0,1393,47125,31785,0,0,0
Fire Cherry,0,12025,0,2,21921,1141,0,0,113565,62188,2112932,0,23239,961,1732,1880,9511,106218,2016,26803,118285,266382,1094010,81023,3441,18888
Jack Pine,0,48905,0,1229,0,0,0,0,935,0,0,80594,0,69144,0,0,0,0,15809,0,0,0,0,0,7560,0
Leatherleaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moss,6994,1546,0,0,0,0,4368,0,0,5771,0,0,0,0,0,0,0,0,0,577,0,0,974,0,0,5035
Mountain Maple,15449,2394,0,0,0,0,1578,0,12329,60275,185,0,0,0,1806664,11030,28810,46250,0,0,0,8546,109316,135,0,2029
Paper Birch,13041,11993,0,0,0,0,17950,0,6149,304,1715,0,0,0,53648,867108,0,7698,0,0,0,38909,4473,316,0,1586
Red Maple,0,0,0,0,0,0,0,0,0,0,15631,0,0,0,2612,6306,1125654,16436,0,0,0,13011,25438,0,0,0
Red Raspberry,37560,66851,0,8684,18375,104582,0,0,115103,9519,126658,0,0,7559,30070,76029,0,3287503,95852,0,21991,40515,56886,113226,36648,19765
Sedges,0,171619,405,1600,0,32894,48,18519,47398,723,9186,0,0,4649,1073,0,0,178547,752866,0,0,17286,0,35525,14546,6553
Serviceberries,3116,7006,0,0,0,22736,0,0,4995,0,3248,0,0,0,0,17018,0,117212,0,0,0,876,30603,193782,0,47178
Sheep Laurel,0,25110,1369,0,7132,0,0,0,42463,1352,1972,0,0,22523,0,0,0,0,0,0,246945,0,1088,166385,0,0
Trembling Aspen,2694,14046,7683,0,0,0,1231,0,14901,1430,38415,0,0,12550,3918,4506,5123,5507,0,17227,5373,2736175,27370,4548,0,0
Viburnum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willowherbs,0,50728,0,160250,33851,58874,0,0,177804,0,50582,0,1894,112,0,6414,7637,231295,38690,0,68982,60056,0,234890,0,1450
Wood,284,226094,17104,5314,37077,125262,115487,0,17057,24483,3822,2408,0,27175,10851,75009,0,114828,0,0,14771,6025,38,45739,201658,723
Yellow Birch,33009,1785,0,401,0,0,0,0,13552,0,0,0,0,0,53591,97994,0,161920,163,715,0,13870,509416,0,0,131167
