,American Mountain-Ash,Background,Spruce,Blueberry,Bog Labrador Tea,Boulders,Canada Yew,Dead Trees,Fern,Fir,Fire Cherry,Jack Pine,Leatherleaf,Moss,Mountain Maple,Paper Birch,Red Maple,Red Raspberry,Sedges,Serviceberries,Sheep Laurel,Trembling Aspen,Viburnum,Willowherbs,Wood,Yellow Birch
American Mountain-Ash,732496,142,0,0,4487,2824,0,0,9447,4164,64457,0,0,115,49879,9898,3012,63728,15118,0,0,1,0,21322,193,0
Background,62406,1879124,122683,113321,134283,325570,55292,0,425787,328284,433957,0,52,364500,396452,143769,144575,1341760,476764,370,171994,489461,441975,203823,350165,14195
Spruce,0,4430,519025,12839,0,8274,27211,0,3442,26134,0,0,0,352198,0,0,0,18658,10462,0,0,34068,0,0,256,0
Blueberry,0,237981,35418,671651,379229,0,19027,0,15785,0,12619,0,0,898244,0,0,0,25041,15540,0,0,0,0,0,34104,0
Bog Labrador Tea,0,0,0,136965,85331,7437,0,0,0,0,0,0,0,25502,0,0,0,99307,0,0,0,0,0,300399,0,0
Boulders,0,1112,0,0,0,96245,0,0,0,0,0,0,0,1332,0,0,0,3231,0,0,0,0,0,0,642,0
Canada Yew,92041,3739,0,0,0,0,320764,0,157,159409,0,0,0,344,0,167211,0,0,0,0,0,0,0,0,4100,0
Dead Trees,4740,20037,0,0,7005,0,0,0,0,61848,0,0,0,0,49841,0,0,0,0,0,0,0,0,0,0,0
Fern,0,23606,1276,9692,0,0,0,0,405679,29388,1245,0,0,27807,0,0,0,24854,0,0,5839,8799,10847,0,2740,0
Fir,43174,4099,0,0,0,0,613,0,0,1204577,6358,0,0,0,66928,20224,0,2225,0,0,2969,33426,31659,0,0,0
Fire Cherry,0,6076,488,247,112575,2023,0,0,51980,61058,2208590,0,366,1224,15956,863,3637,41395,0,2305,45337,240215,1278810,3731,1287,0
Jack Pine,0,39640,0,3,0,0,0,0,5507,0,0,0,0,162411,0,0,0,0,10741,0,0,0,0,0,5874,0
Leatherleaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moss,12527,0,0,0,1,0,0,0,3296,5540,0,0,0,3520,0,381,0,0,0,0,0,0,0,0,0,0
Mountain Maple,15221,0,0,0,0,0,0,0,0,33188,8293,0,0,0,1888033,4080,27755,78786,0,0,0,30067,19567,0,0,0
Paper Birch,31616,86,0,0,0,0,0,0,0,0,31869,0,0,0,58175,839833,0,22298,0,0,395,39181,1410,27,0,0
Red Maple,0,0,0,0,0,0,0,0,0,0,6121,0,0,0,9046,0,1156040,19662,0,0,0,10823,3396,0,0,0
Red Raspberry,51928,14861,0,5773,10497,100453,2359,0,36653,25578,246912,0,0,10965,18681,88314,0,3408923,49555,0,15851,76400,62470,11739,27970,7494
Sedges,0,32007,0,3075,0,28689,0,0,17188,7612,9551,0,0,10205,5095,31,0,233559,892095,0,0,0,0,21083,18958,14289
Serviceberries,14466,0,0,0,6223,14939,0,0,0,0,0,0,0,0,0,60430,0,216070,0,0,0,2850,66348,66444,0,0
Sheep Laurel,0,24346,0,0,18,683,0,0,32275,4365,7834,0,0,33379,0,0,0,0,3767,0,274774,0,754,134144,0,0
Trembling Aspen,0,1409,3468,3287,1519,0,0,0,11355,8630,16742,0,0,3939,4450,0,16648,16750,0,0,1144,2783242,26673,370,3071,0
Viburnum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willowherbs,0,18135,0,146706,26614,77687,0,0,189967,0,90809,0,0,14803,0,3879,7193,255415,15675,0,96367,63228,2520,172894,0,1617
Wood,13536,133957,22574,12759,31820,161049,40940,0,14816,28604,11425,0,0,23347,20777,95778,3830,113119,2447,0,15411,1850,700,3222,319248,0
Yellow Birch,55992,0,0,577,0,0,0,0,0,0,0,0,0,0,83152,142543,0,105601,1635,0,0,0,572462,0,0,55621
