Dataset,Weight File,Patch Size,Overlap,Accuracy,F1 Score - Macro,F1 Score - Weighted
Validation,55_Final_time2024-08-16_best_5e_acc95.pth,256,0.0,0.489852163526747,0.3311263419631875,0.4779833452149078
Test,55_Final_time2024-08-16_best_5e_acc95.pth,256,0.0,0.3994108306037055,0.2909956865304667,0.38730984301630456
Validation,55_Final_time2024-08-16_best_5e_acc95.pth,256,0.2,0.48649876749413645,0.33201565801156513,0.47947911490424205
Test,55_Final_time2024-08-16_best_5e_acc95.pth,256,0.2,0.41074294514126247,0.30269272689089244,0.4045292825542754
Validation,53_Final_time2024-08-15_best_5e_acc94.pth,256,0.0,0.4961244061461881,0.37078007533068685,0.4840454822770458
Test,53_Final_time2024-08-15_best_5e_acc94.pth,256,0.0,0.4156283007727729,0.34085442545197814,0.4309087498152475
Validation,53_Final_time2024-08-15_best_5e_acc94.pth,256,0.2,0.49442256210196733,0.36872224380508967,0.4788421485840022
Test,53_Final_time2024-08-15_best_5e_acc94.pth,256,0.2,0.41982441478305393,0.34291271672787327,0.4324476857505028
Validation,51_Final_time2024-08-14_best_5e_acc94.pth,256,0.0,0.5098257227840587,0.3637619966693677,0.478924615141159
Test,51_Final_time2024-08-14_best_5e_acc94.pth,256,0.0,0.41336337725321454,0.3178776748168338,0.39955469383975184
Validation,51_Final_time2024-08-14_best_5e_acc94.pth,256,0.2,0.5029246419922918,0.36369465785441735,0.46609104051469663
Test,51_Final_time2024-08-14_best_5e_acc94.pth,256,0.2,0.43132662773132324,0.33128598415727145,0.4142363052865252
Validation,52_Final_time2024-08-15_best_5e_acc94.pth,256,0.0,0.5131455201369065,0.3753555115317387,0.49336380627581233
Test,52_Final_time2024-08-15_best_5e_acc94.pth,256,0.0,0.43470674090915257,0.32989230528758917,0.4299538107803138
Validation,52_Final_time2024-08-15_best_5e_acc94.pth,256,0.2,0.5070205916706313,0.3773695711638085,0.4837406434275262
Test,52_Final_time2024-08-15_best_5e_acc94.pth,256,0.2,0.42304958237542045,0.33200303973200307,0.4159122009666259
Validation,54_Final_time2024-08-16_best_5e_acc94.pth,256,0.0,0.500458269037752,0.3731324156184034,0.49870451631262896
Test,54_Final_time2024-08-16_best_5e_acc94.pth,256,0.0,0.40933916303846574,0.3374648993585962,0.41409509521216226
Validation,54_Final_time2024-08-16_best_5e_acc94.pth,256,0.2,0.491923584897294,0.36986655478080394,0.4874358263547717
Test,54_Final_time2024-08-16_best_5e_acc94.pth,256,0.2,0.4076017273796929,0.33025657918774837,0.41042477313277
Validation,242_aug4_time2024-08-10_best_2e_acc95.pth,256,0.0,0.4751977105425973,0.3299794375711796,0.46320469152722415
Test,242_aug4_time2024-08-10_best_2e_acc95.pth,256,0.0,0.4254602591196696,0.32490525955504573,0.4106386646518746
Validation,242_aug4_time2024-08-10_best_2e_acc95.pth,256,0.2,0.4775532453488081,0.3356679594409181,0.4658089805723401
Test,242_aug4_time2024-08-10_best_2e_acc95.pth,256,0.2,0.42136308881971574,0.3143042511467198,0.39241191954045784
Validation,243_aug4_time2024-08-10_best_3e_acc96.pth,256,0.0,0.4790913263956706,0.32600596843346685,0.463491420968364
Test,243_aug4_time2024-08-10_best_3e_acc96.pth,256,0.0,0.40941423839992946,0.31138109600771696,0.39678745616274613
Validation,243_aug4_time2024-08-10_best_3e_acc96.pth,256,0.2,0.477615103762374,0.32649149827436164,0.4671465667586588
Test,243_aug4_time2024-08-10_best_3e_acc96.pth,256,0.2,0.42095043924119735,0.30724670034947016,0.40578435137903207
Validation,244_aug4_time2024-08-10_best_2e_acc96.pth,256,0.0,0.4891980815137553,0.3168096826384559,0.47015648357545436
Test,244_aug4_time2024-08-10_best_2e_acc96.pth,256,0.0,0.4239881568484836,0.2834941313172448,0.3992872626368123
Validation,244_aug4_time2024-08-10_best_2e_acc96.pth,256,0.2,0.47836751204270583,0.3197879185462446,0.4633576088505556
Test,244_aug4_time2024-08-10_best_2e_acc96.pth,256,0.2,0.4197270605299208,0.2953223519214864,0.3865988144179928
Validation,245_aug4_time2024-08-11_best_5e_acc96.pth,256,0.0,0.4387768802479801,0.306781288816744,0.43787069631832654
Test,245_aug4_time2024-08-11_best_5e_acc96.pth,256,0.0,0.400140470928616,0.3029210576112177,0.38831424418234567
Validation,245_aug4_time2024-08-11_best_5e_acc96.pth,256,0.2,0.4380581277048486,0.3172498424391833,0.4408406971788532
Test,245_aug4_time2024-08-11_best_5e_acc96.pth,256,0.2,0.3893824683295356,0.28782458544094125,0.3703519086543628
Validation,241_aug4_time2024-08-10_best_5e_acc96.pth,256,0.0,0.467394894004887,0.318653553203,0.45733565224008177
Test,241_aug4_time2024-08-10_best_5e_acc96.pth,256,0.0,0.3930182192060683,0.2998891105713128,0.38769898476921877
