Dataset,Weight File,Patch Size,Overlap,Accuracy,F1 Score - Macro,F1 Score - Weighted
Validation,54_vit-final_time2024-10-31_best_4e_acc92.pth,224,0.0,0.49142143586200504,0.3359089345962386,0.47801200579867326
Test,54_vit-final_time2024-10-31_best_4e_acc92.pth,224,0.0,0.4144517894234517,0.33240968473975135,0.422384527773814
Validation,55_vit-final_time2024-10-31_best_5e_acc91.pth,224,0.0,0.4892029202506323,0.34251250509598574,0.4725057413098775
Test,55_vit-final_time2024-10-31_best_5e_acc91.pth,224,0.0,0.428056920196464,0.3339629519661859,0.41274471984067984
Validation,51_vit-final_time2024-10-30_best_4e_acc92.pth,224,0.0,0.4873579934527898,0.3567461729995625,0.45469290740128604
Test,51_vit-final_time2024-10-30_best_4e_acc92.pth,224,0.0,0.43414901767998865,0.354434458335773,0.416323834506964
Validation,53_vit-final_time2024-10-31_best_5e_acc92.pth,224,0.0,0.4890346876430861,0.3492190776201229,0.46927915699112904
Test,53_vit-final_time2024-10-31_best_5e_acc92.pth,224,0.0,0.43928195667915604,0.34364138219337736,0.4278171730422121
Validation,52_vit-final_time2024-10-31_best_4e_acc92.pth,224,0.0,0.5034680701707767,0.34600561684914705,0.48367810834789976
Test,52_vit-final_time2024-10-31_best_4e_acc92.pth,224,0.0,0.4248107079745961,0.3260164315496439,0.41319531020263683
