Dataset,Weight File,Patch Size,Overlap,Accuracy,F1 Score - Macro,F1 Score - Weighted
Validation,53_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.5206136295938084,0.4071164142820687,0.5063021731119948
Test,53_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.45685127046373153,0.3615286617124322,0.4456641735654468
Validation,55_Final_time2024-12-06_best_5e_acc95.pth,256,0.0,0.5018697314792209,0.36712410191915373,0.47799770762075394
Test,55_Final_time2024-12-06_best_5e_acc95.pth,256,0.0,0.45564572016398114,0.34995528110762153,0.43447962752983493
Validation,52_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.5115346256484333,0.3964292002926254,0.4789155581315672
Test,52_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.4714355733659532,0.3710222267438178,0.4437925363453462
Validation,54_Final_time2024-12-06_best_5e_acc95.pth,256,0.0,0.495303471883138,0.3915564881310929,0.4902526657249628
Test,54_Final_time2024-12-06_best_5e_acc95.pth,256,0.0,0.48099467489454484,0.3620201681343657,0.45336797554126257
Validation,51_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.5046548761873164,0.36903883475237637,0.4688681319546156
Test,51_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.4850081337822808,0.3717776869084405,0.4447227679446115
